1.000000000000000000e+00,1.600000000000000000e+01,1.593010773103886854e-03,1.593010773105233650e-03,1.363590930080072702e-15
1.000000000000000000e+00,3.200000000000000000e+01,4.007573364719244449e-04,4.007573364780158179e-04,6.159061832043177358e-15
1.000000000000000000e+00,6.400000000000000000e+01,1.003464040232397004e-04,1.003464040510261351e-04,2.786072821667878095e-14
1.000000000000000000e+00,1.280000000000000000e+02,2.509642624975065648e-05,2.509642633659979398e-05,8.704402495206680633e-14
2.000000000000000000e+00,1.600000000000000000e+01,1.042725204180473221e-06,1.042725251284112213e-06,6.279138467476401042e-11
2.000000000000000000e+00,3.200000000000000000e+01,6.527731850134831772e-08,6.527728863103853518e-08,2.848572109921907218e-11
2.000000000000000000e+00,6.400000000000000000e+01,4.081585069002153339e-09,4.081561155948685579e-09,3.041185104733235596e-12
2.000000000000000000e+00,1.280000000000000000e+02,2.554804376216505737e-10,2.553628433823853867e-10,2.360092203522945620e-12
3.000000000000000000e+00,1.600000000000000000e+01,3.382140333514265757e-09,3.378766090914330771e-09,3.050999659157759319e-11
3.000000000000000000e+00,3.200000000000000000e+01,1.064387943741179565e-10,1.058567571716963600e-10,1.148154230034494773e-11
3.000000000000000000e+00,6.400000000000000000e+01,5.350323562902800005e-12,3.361460239170984236e-12,4.250492055898399946e-12
3.000000000000000000e+00,1.280000000000000000e+02,2.191545216385237398e-12,2.669836061626369248e-12,1.331424772480054975e-12
4.000000000000000000e+00,1.600000000000000000e+01,3.863912631339148367e-11,2.666629089713217247e-11,2.825187870999003296e-11
4.000000000000000000e+00,3.200000000000000000e+01,1.148215048039658788e-11,4.323959824048333537e-13,1.147493017591827262e-11
4.000000000000000000e+00,6.400000000000000000e+01,4.941259742121723180e-12,4.735887538427507281e-13,4.912044457334427005e-12
4.000000000000000000e+00,1.280000000000000000e+02,2.448000219543808635e-12,1.889296670036372010e-12,1.208424049617797654e-12
